,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
12,GemuendOur,DERP2004,0.7480260104502765,0.5001961046867561,0.6737523132505804,0.33256131751338747,1.2123051432798406,1.3351131106768923,3.0978596160693375,1.8076906736601308,125.73076923076923,139.30769230769232
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7367663206728996,0.6693441995521313,0.6424869059640159,,1.683498334877289,1.7667872091120764,2.0874403893284983,1.9006017323397086,149.33333333333334,140.58333333333334
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.7936401412776873,0.5461876410176256,0.6729199882829642,,0.8495899649369768,0.9198060429049805,2.4046815359867963,1.8612141870423835,131.33333333333334,138.54166666666666
15,La Moselle Ã  Toul,FR003249,0.8484962047513899,0.5796744249010707,0.6593226522374365,,1.57132401475247,1.6431212763177196,2.7292696550983586,1.8019956269954374,128.30769230769232,135.26923076923077
16,A6232010,FR000144,-0.0707337645765529,0.6872353910753508,0.6651936991737817,,1.444598096445125,1.2948208889698938,2.1998091011604126,1.760717354965969,173.23809523809524,138.57142857142858
17,Diekirch,LU000006,0.8309705393379513,0.572308467363715,0.6943928111923183,,0.9586417313463302,0.8334131945384198,2.4141306296435143,1.6619652830626654,127.46153846153847,141.3846153846154
18,EttelbrueckAlzette,LU000007,0.7632880262429654,0.5820376371289808,0.6937264951508855,,0.8377600275319108,0.7395542587658487,2.179298871547911,1.6969309561629364,135.30769230769232,141.15384615384616
19,Mersch,LU000014,0.7346701433118468,0.5910754818827649,0.6929056954690329,,0.806441904065329,0.7214484606990608,1.7501577598896076,1.6953771972127174,134.30769230769232,140.84615384615384
20,Pruem,DERP2006,0.7056250688470318,0.43962157636394383,0.6676877034084334,0.380215277964153,1.4772328390901432,1.3731159863577005,4.017057443002232,1.8205793523002989,122.23076923076923,139.73076923076923
21,A4020610,FR000124,0.7584328725099014,0.4742586446981948,0.6144544960196823,,3.9161042905995633,3.4322095324172235,3.0970781483971495,1.7467184754977487,118.71428571428571,134.52380952380952
22,Schoenberg,BEWA0067,0.6930226262973023,0.44687806121952867,0.6794495311743137,,1.5219266002304095,1.4474698128260277,3.527883532917868,1.6825221981967744,123.4375,143.0
24,A7642010,FR000169,0.7176319856734141,0.5816472690192767,0.6737817250643602,,0.7066709652720817,0.7136900092072774,1.8911673540319904,1.879001323958356,132.52631578947367,139.1578947368421
25,Dreis,DERP2029,0.8079251558797275,0.5770721236525367,0.6720678964119956,0.6028091915683345,0.8128997419966302,0.9288517130418784,2.202408139605328,1.949556087815585,132.07692307692307,139.57692307692307
26,A6701210,FR000153,0.646933868987829,0.6421192150887213,0.6709936897833751,,1.0716031926027136,1.3290487530273727,2.2348418963151917,1.8511893906898802,133.83333333333334,134.83333333333334
27,A6051020,FR000142,0.812305616492677,0.6181879444170277,0.6604095740585411,0.7376632371114578,1.701081378030953,1.7439727738085262,2.1363079945665095,1.7197839416546004,134.65384615384616,137.3846153846154
28,Densborn,DERP2023,0.8168783628417395,0.5475464240473255,0.6748025737722794,0.7292305370613488,1.2046407986235061,1.1391018147968517,2.2375005419180587,1.8570036419729399,128.80769230769232,140.80769230769232
29,A4200630,FR000128,0.8163256758662478,0.5262351104042112,0.6388162938165955,,3.177223275885115,2.7994665110352646,2.878325804251507,1.7227164774824009,127.44,136.2
30,Le Madon Ã  Pulligny,FR003246,0.7124262080300203,0.4707725058083362,0.6767441548166792,,0.9209072206799293,0.9064517126328959,2.979323882652053,1.9295874786951377,120.84,136.64
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8323003391801118,0.5720068735304338,0.6455917486098613,,1.9660347551444997,2.1109580146040376,2.6656768746543382,1.721224638734769,127.5,133.45454545454547
32,La Moselle Ã  Custines,FR003265,0.8878032658033592,0.6045800876045967,0.6670763691556623,0.8265789515274874,1.3650431518522423,1.357328674270577,2.506784709873493,1.7991086716536855,132.30769230769232,136.03846153846155
33,Heiderscheidergrund,LU000008,0.6658765330031845,0.5007259510922724,0.6808124753764362,,1.1407084448892786,1.0820071900344048,4.088001988594442,1.5567512911651273,119.61538461538461,140.46153846153845
34,Dasbourg,LU000005,0.769919985709726,0.5131519601965012,0.686438080170526,,1.216878753629151,1.1660364402243806,3.044633207499545,1.5712643724339581,124.53846153846153,141.76923076923077
35,Reuland,BEWA0106,0.6880267977581,0.4968046967832148,0.6779533470865908,,1.157128320430866,1.1132788158102382,4.0636305642567105,1.860763242631678,127.0,141.34782608695653
36,Le Woigot Ã  Briey,FR003280,0.5665647821212694,0.6641526137715094,0.6554016588931887,,1.2547971041714252,1.0117819271983093,3.012885676799598,1.8608109747840305,139.57692307692307,136.3846153846154
37,Hentern,DERP2017,0.8553713560417413,0.6040660981781378,0.6587801776613563,0.7952538746720756,1.323952539769067,1.2018315996803388,2.6920265731938446,1.8363284256770231,133.5,137.5
38,DhronTalsperre,DERP2031,0.8033558485329217,0.589492155815281,0.6569010015017277,0.6456508675381889,1.1105974049514904,1.1999086867983946,3.0308423381768783,1.8442119707357367,133.8846153846154,137.1153846153846
39,A4050620,FR000125,0.7945340189302664,0.5023047759426577,0.6290439127076088,,3.519459023368721,3.2090523864476967,2.7963068203600563,1.703046758374852,125.91304347826087,136.65217391304347
40,Kasel,DERP2018,0.8089006936960341,0.5762481641776137,0.6594927522418057,0.5864357877088284,1.024572454928391,1.1844473269289013,2.8786026835903322,1.8439863987815825,132.46153846153845,137.5
41,Gerolstein,DERP2022,0.8346471831587453,0.560257812862486,0.6737104134000726,0.8113392363332972,1.3282642136993508,1.197445278574708,2.16063169738943,1.8470396842167134,129.8846153846154,141.0
42,Platten,DERP2033,0.7896852581182615,0.513752790574686,0.6748137084802758,0.6289709291553469,0.8456727379502524,0.8385697648568136,2.638083649959376,1.9630447392892694,127.96153846153847,140.80769230769232
43,La Mortagne Ã  GerbÃ©viller,FR003261,0.6872239058868179,0.6059598129957963,0.6665610487824126,0.4095942911073137,0.9507015985441356,1.2304064258604763,2.220164395451184,1.8414615130549754,133.46153846153845,136.23076923076923
44,La Sarre Ã  Diedendorf,FR003295,0.7155852554072395,0.5769152417053487,0.6706917949569732,,0.874862179138891,1.0428851925898401,1.8349622379426132,1.8260408665249792,134.52,137.8
45,La Meurthe Ã  LunÃ©ville,FR003253,0.7475143427547011,0.6512894124251375,0.6639970923900161,,1.4149041810573662,1.5056937066051568,2.3023088777028162,1.7129835280174934,140.89473684210526,138.6315789473684
46,La Meurthe Ã  DameleviÃ¨res,FR003262,0.8567996718754225,0.6343893699502714,0.6724589349584309,,1.2114182847345858,1.274587634807157,2.3265395283367276,1.7668376502671717,135.24,136.64
47,BundespegelFremersdorf,DEBU1957,0.8719466184667669,0.6064127198456731,0.6759836615894269,0.8354968951005963,0.8558204789088875,0.8812616340727933,2.049170615368509,1.9002436613496865,134.1153846153846,137.1153846153846
48,BundespegelCochem,DEBU1959,0.8632457120140082,0.6098823777540179,0.6779600608001558,0.8017774844279879,0.995652213866705,1.0440186802721043,2.5260576243304294,1.7971484791979966,132.23076923076923,136.76923076923077
49,A9013050,FR000184,0.4583032719088409,0.7607683459067961,0.6686757455579331,,1.3461345641856322,1.2148966030884567,1.439657424216201,1.785889062832683,152.48,137.16
50,Livange,LU000013,0.6453827549851773,0.5622001104808224,0.6933035960653268,,0.6081548655661143,0.704366381254679,2.274642367461529,1.7037032276475768,133.53846153846155,141.23076923076923
51,Rosport,LU000017,0.8372215431249767,0.5724331774596073,0.6961055067815071,,0.9531568963534384,0.8721590251544257,2.4595552635714406,1.630980864786074,127.3076923076923,141.6153846153846
52,Muellenborn,DERP2027,0.76077240345523,0.5778379022572762,0.6764424347726676,0.852498991075289,1.1505958165844266,0.9969615878419716,1.82350299231343,1.9164634276157582,132.15384615384616,140.69230769230768
53,Saarburg,DERP2016,0.8084279764203043,0.6578150607763272,0.6705926670625261,0.8911959673880562,0.8784074757929518,0.83872222116958,1.9650568511190973,1.8842871817362077,139.65384615384616,138.34615384615384
54,L'AviÃ¨re Ã  Frizon,FR003239,0.6136490620069631,0.5417570920419356,0.6676154028962482,,1.043221884394032,1.1904173654662276,1.7337156049387468,1.8760119747228563,127.3913043478261,135.69565217391303
55,GemuendIrsen,DERP2005,0.6904368626367069,0.4455873237740707,0.6767333421352053,0.3337960531369635,1.1496889079696715,1.1072190190884297,3.8171290952662003,1.869215007528524,120.1923076923077,139.57692307692307
56,Papiermuehle,DERP2030,0.839351425585175,0.6020962318726577,0.6750338889994769,0.7411026100249887,0.8358863192427771,0.858480719043032,2.942742738094131,1.851585152491158,139.34615384615384,142.15384615384616
57,L'Esch Ã  Jezainville,FR003266,0.6260750435317765,0.5675230756275457,0.6769367310506836,,0.5183051714226222,0.6955062233996602,4.039028561215098,1.9977728970683162,130.0,137.77272727272728
58,La Seille Ã  Moyenvic et Ã  Vic-sur-Seille,FR003268,0.6591418159012774,0.5557469480443066,0.6824457032479125,,0.6968147202648104,0.7146177161420868,2.8354812658522928,1.9478597296110771,126.70833333333333,137.20833333333334
59,A5261020,FR000138,0.676749907463271,0.4868317132856165,0.6750756544409193,,0.9894250963306753,0.9728130207087582,2.617709868186704,1.879438569204686,125.46153846153847,141.69230769230768
60,A9752010,FR000200,0.7009351339091361,0.4575035013218041,0.6793483128990908,,0.6404261968432656,0.6151048299824629,2.8985084601167306,1.8829697055999066,120.91666666666667,138.29166666666666
61,La Meurthe Ã  Raon-l'Ã‰tape,FR003251,0.8168348969082919,0.6287292890068247,0.6562898129214876,,1.6258192494169288,1.6179626746072342,2.109642679560907,1.7356976222624907,137.86363636363637,137.1818181818182
62,La Moselle Ã  Ã‰pinal,FR003237,0.8625754698994085,0.5829247348478124,0.6444454427300865,0.7252190375505241,2.55037940991119,2.496766274919978,2.4552189441969348,1.7466617560371933,132.26923076923077,135.96153846153845
63,A6921010,FR000156,0.824555422960844,0.6229550449387533,0.6709948426258653,0.7623850383502153,1.0975178585251943,1.2083331478515578,2.3250156142838394,1.7777939007915369,136.65384615384616,137.1153846153846
64,La Moselle Ã  Hagondange et Ã  Hauconcourt,FR003272,0.8338942935338222,0.6007617392768614,0.6622521680240424,,1.1616918354872199,1.314187689548231,2.4761871992808,1.8530690497518243,135.57142857142858,138.9047619047619
66,Hesperange,LU000009,0.7087856123735359,0.5411479825234004,0.6938185692751303,,0.7634042777287259,0.699543608654475,2.3584108542198785,1.6993814838332053,132.69230769230768,141.30769230769232
67,Kautenbach,LU000011,0.7919368690954571,0.5621020627204069,0.6974470603430173,,0.9868912416707145,0.9104986869849596,3.245834379508611,1.6615549017656281,131.0,143.69230769230768
68,La Cleurie Ã  Cleurie,FR003234,0.6752001918656649,0.5991215229375468,0.6477256066597136,,3.112317145012346,2.2129032452827335,2.303898434538102,1.7663141755756584,132.0909090909091,136.45454545454547
69,Lommersweiler,BEWA0107,0.680850121389863,0.5650632320024066,0.6610800718526347,,1.2694405494768017,1.5244809175901228,3.4182994258423167,1.805248344266386,133.58823529411765,144.58823529411765
70,Le Canner Ã  KÅ“nigsmacker,FR003288,0.650037860292488,0.5575694415881807,0.6752210490078581,,0.6382568553269785,0.6924614019129273,1.8773455778449442,1.9200611301973973,131.73076923076923,137.69230769230768
71,A8122000,FR000174,0.49284012889326245,0.4378605500946607,0.6878701877314324,,0.5779162965551374,0.7093968583880014,3.730070984507281,1.9890267629894667,117.92307692307692,142.53846153846155
72,Juenkerath,DERP2021,0.7605366149648611,0.4703845996587508,0.6714802551068014,0.5141304975794239,1.398167993796431,1.2815271716194925,3.3370353680427347,1.8465657828316169,124.5,140.76923076923077
73,La Sarre Ã  Sarrebourg,FR003293,0.661146599131754,0.5914750289546523,0.6799463401699607,,0.9910164766444115,1.131410917862823,2.304240628997312,1.814002481599641,142.05555555555554,139.5
74,La Vologne Ã  ChenimÃ©nil,FR003236,0.8152349280800469,0.6130444923461763,0.6449483081791667,,2.2985384896105137,2.243541638030512,2.3750379274547355,1.7711784360960556,133.16,136.24
75,Ouren,BEWA0119,0.7483072966091451,0.5081014079140684,0.6696266114331669,,1.2998432104374793,1.4208934564503362,3.3364343815241786,1.8051334483986647,123.26666666666667,139.8
76,Contwig,DERP2013,-0.35800071871597283,0.8138979678410975,0.6714929226835634,-0.36495562557687666,0.7628039021474782,0.86573269630253,0.9585595889496735,1.9776584781921833,161.34615384615384,139.03846153846155
77,Kordel,DERP2024,0.8571650811397127,0.6056517156816441,0.6760595157697966,0.7520077754107111,1.018054379588398,1.0707793962248373,1.9893237119119833,1.8763228778910241,132.84615384615384,140.23076923076923
78,L'Orne Ã  Rosselange,FR003283,0.7465973440046025,0.5325784969434902,0.6679370018585067,,0.7764789553330105,0.8731109479458684,3.278380260004694,1.9973569955779666,128.36,137.52
79,A6941020,FR000159,0.8417984823071273,0.6030848801904666,0.647751345857313,,1.2861866065257646,1.2855437695900398,2.2578023984627564,1.8321742611672018,144.25,145.66666666666666
80,La Moselle Ã  Uckange,FR003284,0.831776731069847,0.6026969325669678,0.6727106056439638,,1.0525460592183666,1.1862554839150499,2.6102271947819404,1.8002544692913347,131.5,136.23076923076923
81,Vianden,LU000019,0.7574501163855966,0.4927093708112636,0.6885845305102383,,1.1783079531931049,1.1012855044199361,3.4284677356567825,1.5898689848477705,125.84615384615384,142.15384615384616
82,Michelau,LU000015,0.7444869476311432,0.5168531772655388,0.6892661826656264,,1.0740519590813469,0.9877275213185774,4.331634051685714,1.6044066266210624,121.76923076923077,141.69230769230768
83,L'ArentÃƒÂ¨le ÃƒÂ  Saint-Gorgon et ÃƒÂ  Sainte-HÃƒÂ©lÃƒÂ¨ne,FR003259,0.24085240458135926,0.5706232490689632,0.6576269970268273,,0.8747875558972658,1.4429112123251835,2.2152232268195253,1.8942659370179553,136.64705882352942,140.52941176470588
85,Hornbach,DERP2015,0.7561805667345745,0.680687665329563,0.6694715669806641,0.7026571359847458,0.999727657961247,0.9396354357672866,1.7763706983828427,1.955928868274998,142.96153846153845,137.15384615384616
86,L'Orne Ã  Ã‰tain,FR003274,0.5899933385340093,0.4388275678210208,0.6682839642007015,,0.6728063523481701,0.7908103615849199,3.45529350359786,1.7662643734908885,127.45454545454545,145.72727272727272
87,Peltzerhaus,DERP2036,0.7268074535680376,0.47157230315414317,0.6803741245029479,0.47560075910332944,0.7697909099995716,0.7385402812071812,3.475729191631467,1.984636385159822,127.07692307692308,142.57692307692307
88,AlsdorfOberecken,DERP2011,0.7553847610918736,0.5618528253644051,0.6720533223139726,0.4224981154590973,0.8511268809833806,1.0238858877165087,2.0141747929079346,1.926432101403275,130.03846153846155,138.76923076923077
89,Reuland,BEWA0066,0.7672284918037597,0.5157415459885847,0.6837183071275734,,1.3588031872303,1.3601151915087404,3.400557707042768,1.7668212093074365,126.29411764705883,141.47058823529412
90,L'Orne Ã  Boncourt,FR003275,0.5483719028172951,0.4211480281801187,0.6675135558620356,,0.700921766646005,0.9276016748876267,4.118494126340723,2.0055943497587747,123.32,136.96
91,La Vezouze Ã  LunÃ©ville,FR003257,0.7781525624527869,0.5222915688252827,0.6728100285658506,,0.9787323451344386,0.9139018735759429,2.4418798274668423,1.8625270354115189,127.32,136.64
92,La Sarre Ã  Keskastel,FR003296,0.7276867372788312,0.5438003919470576,0.6732824929486816,0.27131169821796375,0.8351470457281275,1.0091663235062407,2.183741709168209,1.839066320669279,132.15384615384616,137.26923076923077
93,A7881010,FR000171,0.7633473139098108,0.5258401840570618,0.6828341154780538,,0.6489004821742346,0.665285310895714,2.794871761794153,1.9262570121874247,124.91666666666667,137.54166666666666
94,A5500610,FR000140,0.8278040471581456,0.5647858633731606,0.654755510254419,,1.5435719282086267,1.7410475081913117,2.688164983519076,1.7906980345284873,127.88,135.12
95,BundespegelPerl ,DEBU1956,0.8409554011138141,0.6023545418383962,0.6713889526967142,0.7339354833288104,1.0538170118310684,1.1525995439206584,2.5050865854074784,1.8089223263514704,132.03846153846155,136.30769230769232
96,Bissen,LU000002,0.7459304561871978,0.5729173574933384,0.6913230370268213,,1.0313721751418063,0.83520557338665,2.2436501934118906,1.687932975114883,128.30769230769232,141.23076923076923
97,Pfaffenthal,LU000016,0.685053107410206,0.5649402652939012,0.6943470115029537,,0.8191421083027756,0.6944533287171862,2.005882515001313,1.695371638325702,133.6153846153846,141.53846153846155
98,La Meurthe Ã  Fraize,FR003250,0.4893461478813056,0.6808339053044777,0.659441972755308,,2.390766191224803,1.6530637880902854,1.8180162228489514,1.6910486315864373,152.04,139.32
99,A4333010,FR000132,0.6351172384483897,0.6530106635895081,0.64271135002027,,1.8959382715248034,2.368950836787119,1.9320525133488922,1.7477342549337789,135.08333333333334,135.16666666666666
100,La Vezouze Ã  BlÃ¢mont et Ã  FrÃ©monville,FR003254,0.5533559364870246,0.7235967013603444,0.656437873081044,,1.2828977644631783,1.0677299978203667,1.5714018371761915,2.0128777108322167,148.625,148.125
101,Seffern,DERP2010,0.7735937010162552,0.584766701424946,0.6707501084194956,0.6625026763726802,0.9819733386627639,1.0856246408046812,2.0439832188462397,1.910607864727448,133.42307692307693,138.84615384615384
102,A9832010,FR000201,0.7084011879304575,0.42653072389875984,0.6673930197856522,,0.849581128083009,0.7129567467924812,3.464183661054504,1.9006077447621972,114.75,135.33333333333334
103,L'Eichel Ã  Oermingen,FR003300,0.645117277365054,0.5442717309295414,0.6748952372095866,,0.7941646809114383,0.8331731791322681,2.409833486615015,1.9442135026944918,135.0,137.52
104,Le Rupt de Mad Ã  Onville,FR003267,0.729276733575295,0.6063197103501453,0.6714599430547263,0.5781050782658408,0.6999686070842662,0.794096867504142,3.154342960852823,2.0374280713991095,131.73076923076923,138.07692307692307
105,Althornbach,DERP2014,0.7584645041013345,0.6895695736242748,0.6697767966273179,0.7257467844695399,0.9009074304970512,0.9463161557662889,1.4863795351870033,1.9446312746066958,145.73076923076923,137.46153846153845
106,Pruemzurlay,DERP2007,0.7816166590837472,0.5009140812683283,0.6727592065788676,0.6284159442776219,1.1604185383319292,1.0954890312995336,2.915570639402641,1.8979482385778659,124.88461538461539,138.53846153846155
107,La Seille Ã  Nomeny,FR003271,0.7572074587923747,0.5432693168165375,0.6847549183474406,,0.6967928058222851,0.6773662657591657,2.5845648486267065,1.9604911387418869,124.56,137.72
108,La Sarre Ã  Wittring,FR003301,0.8022047289856837,0.5407656464253692,0.6832859668889805,,0.8787422218958316,0.90982073763188,2.8797385123811385,1.8640552549700131,128.1875,137.8125
109,Bollendorf,DERP2003,0.8579385317443413,0.5593528460977805,0.6747895059166047,0.7244270566134426,1.0457075953185144,1.0706178077240895,2.2855850273480653,1.7834123241446238,126.34615384615384,137.69230769230768
110,BundespegelTrierUp,DEBU1958,0.8635396894514188,0.6102542210133954,0.6772787322848864,0.754758367854179,0.9863047836152153,1.0675579066120535,2.3531175439363525,1.8011693632212935,131.6153846153846,136.69230769230768
